"","county","mean_price","p7525_ratio"
"476",13287,1077.142,1.30217
"477",13289,1207.822,3.381779
"478",13291,1920.289,5.106875
"479",13293,1761.333,6.028
"480",13295,1326.941,3.169059
"481",13297,1161.725,2.39026
"482",13299,1586.255,2.254106
"483",13301,1257.328,2.899418
"484",13303,1370.775,3.240661
"485",13305,1595.898,3.211708
"486",13307,2569.544,2.203276
"487",13309,2167.089,4.688963
"488",13311,1110.697,2.057692
"489",13313,1605.787,3.57905
"490",13315,1929.917,2.506685
"491",13317,1431.036,2.667162
"492",13319,1573.877,5.418655
"493",13321,2509.806,1.532316
"494",15001,1207.368,2.33703
"495",15003,1647.658,2.424977
"496",15007,2105.26,1.431624
"497",15009,1946.378,2.457123
"498",16001,1401.856,1.500005
"499",16003,1268.023,1.278323
"500",16005,1160.422,1.470588
"501",16007,1968.239,3.639148
"502",16011,1599.443,1.581006
"503",16013,2045.09,1.473782
"504",16015,1253.533,1.230164
"505",16017,1255.381,2.258438
"506",16019,1304.747,1.666968
"507",16021,1559.962,3.193563
"508",16027,1782.312,2.065993
"509",16035,1632.552,2.274582
"510",16039,1489.933,1.653173
"511",16041,1384.601,2.353407
"512",16043,1518.549,2.045981
"513",16047,2139.453,1.920521
"514",16049,1656.354,1.629219
"515",16051,1292.437,1.717472
"516",16053,2030.72,1.535233
"517",16055,1041.637,2.046137
"518",16057,1549.911,2.216347
"519",16065,1331.328,1.925538
"520",16067,1512.058,1.604118
"521",16069,1298.117,1.87743
"522",16071,1878.33,3.768299
"523",16073,1916.508,2.198202
"524",16075,1835.839,2.172437
"525",16077,1287.065,1.470588
"526",16079,1314.088,3.056859
"527",16081,2114.638,1.963118
"528",16083,1853.101,1.358016
"529",16085,1563.05,1.527689
"530",16087,2076.43,1.639617
"531",17001,2240.964,1.43803
"532",17003,2052.132,5.620667
"533",17005,1543.745,1.683077
"534",17007,1516.255,2.263035
"535",17011,2827.047,1.518715
"536",17013,1501.159,1.332417
"537",17015,3579.31,2.244599
"538",17017,2603.292,2.002586
"539",17019,3337.285,1.751712
"540",17021,2123.999,2.671108
"541",17025,2244.799,1.373984
"542",17027,1996.669,2.895509
"543",17029,2069.157,2.099843
"544",17031,2167.578,2.328175
"545",17033,3012.522,1.543314
"546",17035,2136.705,1.927018
"547",17037,2166.729,3.494615
"548",17039,1904.877,2.551516
"549",17041,2673.332,2.308459
"550",17043,1911.848,2.536608
"551",17045,3774.76,1.427645
"552",17047,2364.532,1.95714
"553",17049,2309.87,1.737696
"554",17051,2001.899,1.925617
"555",17053,4300.726,1.853279
"556",17055,3386.598,2.408063
"557",17057,2591.163,2.245259
"558",17059,2521.976,1.596974
"559",17061,1425.955,1.19353
"560",17063,2627.445,2.210007
"561",17065,3465.469,2.116151
"562",17067,2556.901,1.830526
"563",17073,1161.421,2.609524
"564",17075,1381.884,3.830163
"565",17077,3265.189,3.107599
"566",17081,3337.456,1.803211
"567",17083,1244.544,1.294208
"568",17085,1871.652,2.99787
"569",17087,2654.055,3.3637
"570",17089,1597.035,2.766798
"571",17091,1212.47,2.636614
"572",17093,2102.316,2.993799
"573",17095,2243.783,2.125059
"574",17097,2167.433,3.186911
"575",17099,2897.473,1.633641
"576",17101,2530.885,1.54264
"577",17103,3043.036,1.868417
"578",17105,2719.854,1.927095
"579",17107,2026.965,2.351295
"580",17109,3090.296,1.482885
"581",17111,2737.005,1.847513
"582",17113,2185.956,1.625724
"583",17115,1577.715,2.039582
"584",17117,1511.554,1.287094
"585",17119,1231.248,1.289981
"586",17121,2276.089,2.109534
"587",17123,1856.983,2.206512
"588",17125,1884.444,2.313
"589",17127,1737.573,2.227132
